"WardCode","WardName","borough","NESW","AreaSqKm","lon","lat","IncomeScor","LivingEnSc","NoEmployee","GrenSpace","PopDen","BornUK","NotBornUK","NoCTFtoH","NoDwelling","NoFlats","NoHouses","NoOwndDwel","MedHPrice"
"E05000026","Abbey","Barking and Dagenham","East",1.3,0.077935,51.539711,0.27,42.76,7900,19.6,9884.6,5459,7327,0.1,4733,3153,1600,1545,177000
"E05000027","Alibon","Barking and Dagenham","East",1.4,0.14827,51.545589,0.28,27.96,800,22.4,7464.3,7824,2561,0.1,4045,574,3471,1849,160000
"E05000028","Becontree","Barking and Dagenham","East",1.3,0.118957,51.554534,0.25,31.59,1100,3,8923.1,8075,3470,0.1,4378,837,3541,2093,170000
"E05000029","Chadwell Heath","Barking and Dagenham","East",3.4,0.139985,51.584751,0.27,34.78,1700,56.4,2970.6,7539,2482,0.4,4050,1400,2662,2148,195000
"E05000030","Eastbrook","Barking and Dagenham","East",3.5,0.173581,51.553648,0.19,21.25,4000,51.1,3014.3,8514,1992,0.5,3976,742,3235,2646,191750
"E05000031","Eastbury","Barking and Dagenham","East",1.4,0.105683,51.535896,0.27,31.16,1000,18.1,8357.1,7880,3744,0,4321,933,3388,1913,167250
"E05000032","Gascoigne","Barking and Dagenham","East",1.1,0.082947,51.532413,0.36,40.03,2800,20.3,11409.1,6447,6005,0.1,4662,3368,1343,1233,145000
"E05000033","Goresbrook","Barking and Dagenham","East",1.3,0.135579,51.53609,0.27,27.38,1300,17.1,8730.8,8244,3023,0.1,4293,657,3639,1938,155000
"E05000034","Heath","Barking and Dagenham","East",2,0.154339,51.557524,0.31,31.53,2500,38.4,5425,8183,2603,0,4409,1606,2812,1832,155000
"E05000035","Longbridge","Barking and Dagenham","East",1.6,0.096579,51.543838,0.17,23.57,1600,30.3,7218.8,7660,3818,7.7,3787,852,2936,2618,250000
"E05000036","Mayesbrook","Barking and Dagenham","East",1.9,0.11917,51.54404,0.29,28.01,800,45.8,5473.7,7759,2583,0.1,3986,616,3371,1752,160000
"E05000037","Parsloes","Barking and Dagenham","East",1.2,0.134974,51.550182,0.28,29.2,600,17.5,8250,7547,2292,0.1,3844,489,3355,1849,157000
